#level      koszt       ryzyko
13501.0000  13501.0000  1710.6000
13525.0000  13525.0000  1710.0000
13538.5000  13538.5000  1709.5000
13540.5000  13540.5000  1708.5000
13543.5000  13543.5000  1702.5000
13545.5000  13545.5000  1701.5000
13547.5000  13547.5000  1700.5000
13555.0000  13549.5000  1699.5000
13560.5000  13560.5000  1695.3000
13596.0000  13596.0000  1693.0000
13598.0000  13598.0000  1692.0000
13600.0000  13600.0000  1691.0000
13655.0000  13649.0000  1682.4000
13655.0000  13609.0000  1682.4000
13661.5000  13661.5000  1677.9000
13695.0000  13695.0000  1677.0000
13697.0000  13697.0000  1676.0000
13699.0000  13699.0000  1675.0000
13701.0000  13701.0000  1674.0000
13755.0000  13750.0000  1665.0000
13755.0000  13710.0000  1665.0000
13758.5000  13758.5000  1657.5000
13760.5000  13760.5000  1656.5000
13769.5000  13769.5000  1649.7000
13809.0000  13809.0000  1649.0000
13811.0000  13811.0000  1648.0000
13822.0000  13822.0000  1645.2000
13853.5000  13853.5000  1643.5000
13855.0000  13853.5000  1643.5000
13855.5000  13855.5000  1642.5000
13857.5000  13857.5000  1641.5000
13859.5000  13859.5000  1640.5000
13861.5000  13861.5000  1639.5000
13870.5000  13870.5000  1632.3000
13910.0000  13910.0000  1632.0000
13912.0000  13912.0000  1631.0000
13955.0000  13949.0000  1623.0000
13955.0000  13919.0000  1623.0000
13962.5000  13962.5000  1622.5000
13971.5000  13971.5000  1614.9000
13995.5000  13995.5000  1614.3000
14013.0000  14013.0000  1614.0000
14014.0000  14014.0000  1609.0000
14016.0000  14016.0000  1608.0000
14018.0000  14018.0000  1607.0000
14020.0000  14020.0000  1606.0000
14031.0000  14031.0000  1599.6000
14055.0000  14051.0000  1599.6000
14055.0000  14031.0000  1599.6000
14067.5000  14066.5000  1599.5000
14068.5000  14068.5000  1598.5000
14070.5000  14070.5000  1597.5000
14079.5000  14079.5000  1588.5000
14155.0000  14142.0000  1582.2000
14155.0000  14132.0000  1582.2000
14169.5000  14169.5000  1581.5000
14171.5000  14171.5000  1580.5000
14173.5000  14173.5000  1580.1000
14180.5000  14180.5000  1571.5000
14224.0000  14224.0000  1571.4000
14229.0000  14229.0000  1564.0000
14231.0000  14231.0000  1563.0000
14255.0000  14250.0000  1554.0000
